feature,gain_importance,normalized_gain_percent
rolling_mean_7,84824636.24648285,71.56279334994802
rolling_mean_14,20996313.87469101,17.71366123585895
rolling_mean_28,3486349.654323578,2.9412789833020456
lag_1,2340165.9176979065,1.974294466600211
item_code,2223918.128868103,1.876221349431252
rolling_std_28,1045488.9013824463,0.8820327384828418
is_weekend,1020960.2380523682,0.8613389902663429
wday,681055.006477356,0.5745759822283637
last_known_sell_price,454431.16341018677,0.3833834706275923
event_name_1_code,363497.5500640869,0.3066668035317066
lag_28,206157.65702819824,0.1739260957694957
price_change_from_7_days_ago,203928.26950836182,0.17204526013684512
lag_14,122066.3990020752,0.10298202118279066
lag_7,114872.74573898315,0.09691305413880666
snap_CA,114762.3376121521,0.09681990768614629
month,76395.47987365723,0.06445148698524872
price_available,69321.05218887329,0.05848310528769283
price_lag_7,62395.2798500061,0.05264013752965909
rolling_std_7,54459.196102142334,0.045944814727378235
year,41310.11833190918,0.034851519467269096
dept_code,24988.76927947998,0.021081919253041342
price_missing,3709.2088356018066,0.0031292954162827854
event_name_2_code,573.7080955505371,0.0004840121420123115
event_type_1_code,0.0,0.0
event_type_2_code,0.0,0.0
