horizon,date,MAE,RMSE,WAPE_percent,variant
1,2016-03-28,1.2192989479317462,2.173447939814113,70.65050758781933,FULL_V1
2,2016-03-29,1.2001416135725818,2.903103103524645,69.51243444997179,FULL_V1
3,2016-03-30,1.097861602048214,1.825053106725172,73.8935420207627,FULL_V1
4,2016-03-31,1.239596550382036,2.731302708021724,67.19352104485046,FULL_V1
5,2016-04-01,1.2672605193599218,2.0814451483936725,58.14346635760561,FULL_V1
6,2016-04-02,1.5883657771843844,2.995097752600962,58.67562009804526,FULL_V1
7,2016-04-03,1.6384786912586822,3.1062198344368346,55.71447892424815,FULL_V1
8,2016-04-04,1.4292300377752718,2.697559781105667,62.74987975200322,FULL_V1
9,2016-04-05,1.3327910294594267,2.606848707809217,70.64628215909983,FULL_V1
10,2016-04-06,1.319146121096413,2.3506169169556848,70.25993239494238,FULL_V1
11,2016-04-07,1.3172864624122178,2.354026001122857,77.26288353005538,FULL_V1
12,2016-04-08,1.451384294654969,2.513108684317136,66.40048492261033,FULL_V1
13,2016-04-09,1.560780435899712,2.5493832983686,55.06608117819509,FULL_V1
14,2016-04-10,1.8006774277051052,3.7596261007461207,63.717642541547306,FULL_V1
15,2016-04-11,1.440005797365902,2.681531404520284,71.95022012568849,FULL_V1
16,2016-04-12,1.3122126155396148,2.550342578893257,79.4961858571006,FULL_V1
17,2016-04-13,1.2656586306051674,2.2841755126386385,77.69121965739537,FULL_V1
18,2016-04-14,1.2682193523012335,2.084762715805509,75.27596899037061,FULL_V1
19,2016-04-15,1.348463738889342,2.231369535750217,71.60910542438967,FULL_V1
20,2016-04-16,1.5837139332746062,2.626461925929505,65.37767659050874,FULL_V1
21,2016-04-17,1.679041828385314,2.861226359199241,60.25931836637602,FULL_V1
22,2016-04-18,1.3742240248351678,2.536883701062944,68.4254997812937,FULL_V1
23,2016-04-19,1.2447685182733603,2.093832305364893,71.89438749030622,FULL_V1
24,2016-04-20,1.2716539162732845,2.285739888552876,73.38821998733773,FULL_V1
25,2016-04-21,1.2561685028294765,2.1078451398431435,71.26388229632678,FULL_V1
26,2016-04-22,1.4252710414139156,2.340743358346015,69.19305697674989,FULL_V1
27,2016-04-23,1.624967811279201,2.7225257571721797,63.8872433600058,FULL_V1
28,2016-04-24,1.711910594869781,2.999727943122017,60.69616394838084,FULL_V1
1,2016-03-28,1.2179234599964868,2.1783489250380095,70.57080693608675,NO_PRICE
2,2016-03-29,1.1968232935155816,2.8911961160474102,69.3202367102737,NO_PRICE
3,2016-03-30,1.0981046902660667,1.8180846345964745,73.9099035087746,NO_PRICE
4,2016-03-31,1.2417320564652359,2.730554800632852,67.30927820220836,NO_PRICE
5,2016-04-01,1.2717808995741986,2.0938479187649395,58.35086694406524,NO_PRICE
6,2016-04-02,1.5971645939665495,3.0050700727296062,59.00065608046097,NO_PRICE
7,2016-04-03,1.635466809055613,3.0456836961354563,55.612063526098346,NO_PRICE
8,2016-04-04,1.425065615027754,2.6764017433866334,62.56704212633311,NO_PRICE
9,2016-04-05,1.3336182083450414,2.606846787540877,70.69012782706841,NO_PRICE
10,2016-04-06,1.3163111845764384,2.3482338552722752,70.10893892647672,NO_PRICE
11,2016-04-07,1.3186172066041235,2.3772415053271545,77.34093575061736,NO_PRICE
12,2016-04-08,1.4449054604932852,2.511018786587991,66.10407980671286,NO_PRICE
13,2016-04-09,1.5653459229597286,2.55217915626031,55.22715667304517,NO_PRICE
14,2016-04-10,1.8055413341601414,3.8063565314229724,63.889753685991714,NO_PRICE
15,2016-04-11,1.438608955198519,2.6786274500102154,71.88042658624033,NO_PRICE
16,2016-04-12,1.3036588575135561,2.5350362335474346,78.97798390585919,NO_PRICE
17,2016-04-13,1.2690171961647976,2.2858338532859,77.8973819260493,NO_PRICE
18,2016-04-14,1.2702907739231777,2.101838657261185,75.39891954265205,NO_PRICE
19,2016-04-15,1.3724623822335544,2.2884763786082964,72.8835344888994,NO_PRICE
20,2016-04-16,1.6031894682104217,2.6945013382992333,66.18165084224005,NO_PRICE
21,2016-04-17,1.707815529825587,2.9373292918262255,61.29198092805617,NO_PRICE
22,2016-04-18,1.390273042849512,2.5868702851085863,69.22461408782912,NO_PRICE
23,2016-04-19,1.2635896007100051,2.162121151007915,72.98144116640987,NO_PRICE
24,2016-04-20,1.2801395324220857,2.3136090065448687,73.8779320518288,NO_PRICE
