horizon,date,MAE,RMSE,WAPE_percent
1,2016-03-28,1.2192989479317462,2.173447939814113,70.65050758781933
2,2016-03-29,1.2001416135725818,2.903103103524645,69.51243444997179
3,2016-03-30,1.097861602048214,1.825053106725172,73.8935420207627
4,2016-03-31,1.239596550382036,2.731302708021724,67.19352104485046
5,2016-04-01,1.2672605193599218,2.0814451483936725,58.14346635760561
6,2016-04-02,1.5883657771843844,2.995097752600962,58.67562009804526
7,2016-04-03,1.6384786912586822,3.1062198344368346,55.71447892424815
8,2016-04-04,1.4292300377752718,2.697559781105667,62.749879752003224
9,2016-04-05,1.3327910294594267,2.606848707809217,70.64628215909983
10,2016-04-06,1.319146121096413,2.3506169169556848,70.25993239494238
11,2016-04-07,1.3172864624122178,2.354026001122857,77.26288353005538
12,2016-04-08,1.4513842946549693,2.5131086843171357,66.40048492261033
13,2016-04-09,1.560780435899712,2.5493832983685993,55.06608117819509
14,2016-04-10,1.8006774277051052,3.7596261007461207,63.717642541547306
15,2016-04-11,1.440005797365902,2.6815314045202836,71.95022012568849
16,2016-04-12,1.3122126155396148,2.550342578893257,79.4961858571006
17,2016-04-13,1.2656586306051674,2.2841755126386385,77.69121965739537
18,2016-04-14,1.2682193523012335,2.084762715805509,75.27596899037061
19,2016-04-15,1.3484637388893421,2.2313695357502166,71.60910542438967
20,2016-04-16,1.5837139332746062,2.626461925929505,65.37767659050874
21,2016-04-17,1.679041828385314,2.861226359199241,60.25931836637602
22,2016-04-18,1.3742240248351678,2.536883701062944,68.4254997812937
23,2016-04-19,1.2447685182733603,2.093832305364893,71.89438749030622
24,2016-04-20,1.2716539162732843,2.2857398885528757,73.38821998733773
25,2016-04-21,1.2561685028294765,2.1078451398431435,71.26388229632678
26,2016-04-22,1.4252710414139156,2.340743358346015,69.19305697674989
27,2016-04-23,1.624967811279201,2.7225257571721793,63.8872433600058
28,2016-04-24,1.711910594869781,2.999727943122017,60.696163948380836
